City_ID,City,Country,Lat,Lng,Max Temp,Cloudiness,Wind Speed,Description
118,Tasiilaq,GL,65.6145,-37.6368,30.36,100,5.41,overcast clouds
119,Laguna,US,38.421,-121.4238,64.31,40,5.99,scattered clouds
120,Sorland,NO,67.667,12.6934,38.64,8,6.62,clear sky
121,Bima,ID,-8.4667,118.7167,74.71,19,3.38,few clouds
122,Roald,NO,62.5833,6.1333,44.33,0,20.71,clear sky
123,Cheremshan,RU,54.6667,51.5,42.85,5,8.03,clear sky
124,Ostrovnoy,RU,68.0531,39.5131,13.33,100,6.42,overcast clouds
125,Khatanga,RU,71.9667,102.5,8.64,100,9.15,overcast clouds
126,Vaini,TO,-21.2,-175.2,80.76,40,6.91,scattered clouds
127,Torbay,CA,47.6666,-52.7314,35.28,100,18.41,mist
128,Thompson,CA,55.7435,-97.8558,28.56,40,23.02,scattered clouds
129,Avarua,CK,-21.2078,-159.775,82.45,7,3.44,clear sky
130,Carnarvon,AU,-24.8667,113.6333,68.07,0,13.8,clear sky
131,Mecca,SA,21.4267,39.8261,82.53,18,1.23,few clouds
132,Omboue,GA,-1.5746,9.2618,78.19,94,5.39,overcast clouds
133,Evensk,RU,61.95,159.2333,22.3,100,11.65,overcast clouds
134,Qaanaaq,GL,77.484,-69.3632,1.49,100,7.47,overcast clouds
135,Port Alfred,ZA,-33.5906,26.891,62.19,36,3.0,scattered clouds
136,Antalaha,MG,-14.9003,50.2788,73.62,3,6.35,clear sky
137,Bredasdorp,ZA,-34.5322,20.0403,63.93,99,7.0,overcast clouds
138,Ancud,CL,-41.8697,-73.8203,58.23,53,4.23,broken clouds
139,Ribeira Grande,PT,38.5167,-28.7,61.2,20,23.02,few clouds
140,Rikitea,PF,-23.1203,-134.9692,78.66,10,15.55,light rain
141,Lebu,CL,-37.6167,-73.65,55.0,0,18.75,clear sky
142,Castro,BR,-24.7911,-50.0119,64.44,100,3.36,overcast clouds
143,Saint-Philippe,RE,-21.3585,55.7679,76.59,83,17.22,moderate rain
144,San Patricio,US,28.017,-97.5169,96.89,36,13.0,scattered clouds
145,Zharkent,KZ,44.1628,80.0,59.43,36,3.29,scattered clouds
146,Mango,US,27.9797,-82.3065,88.12,75,8.05,broken clouds
147,Grindavik,IS,63.8424,-22.4338,44.55,100,20.71,moderate rain
148,Fortuna,US,40.5982,-124.1573,51.93,40,9.22,light rain
149,Saldanha,ZA,-33.0117,17.9442,64.45,100,18.88,overcast clouds
150,Aklavik,CA,68.2191,-135.0107,12.2,75,11.5,broken clouds
151,Puerto Ayora,EC,-0.7393,-90.3518,84.16,74,10.65,broken clouds
152,Fort Nelson,CA,58.8053,-122.7002,24.39,0,6.91,clear sky
153,Chicama,PE,-7.8447,-79.1469,64.94,12,10.63,few clouds
154,Narsaq,GL,60.9167,-46.05,52.02,95,8.1,overcast clouds
155,Ayan,RU,56.45,138.1667,23.56,94,12.24,overcast clouds
156,Navahrudak,BY,53.6,25.8333,39.79,29,3.33,scattered clouds
157,Adrar,MR,20.5022,-10.0711,78.26,0,12.53,clear sky
158,Kruisfontein,ZA,-34.0033,24.7314,60.89,100,8.55,overcast clouds
159,Parrita,CR,9.5201,-84.3225,85.55,34,5.93,scattered clouds
160,Ilulissat,GL,69.2167,-51.1,21.22,75,6.91,broken clouds
161,Chuy,UY,-33.6971,-53.4616,61.9,18,11.9,few clouds
162,Tchollire,CM,8.4022,14.1698,84.18,97,4.65,overcast clouds
163,Seoni Malwa,IN,22.45,77.4667,87.71,100,2.37,overcast clouds
164,Todos Santos,MX,23.45,-110.2167,76.87,63,11.23,broken clouds
165,Buraydah,SA,26.326,43.975,79.25,83,10.09,broken clouds
166,Esperance,AU,-33.8667,121.9,60.64,100,16.06,overcast clouds
167,Kenai,US,60.5544,-151.2583,44.02,0,8.05,clear sky
168,Brae,GB,60.3964,-1.353,42.98,45,14.18,scattered clouds
169,Chokurdakh,RU,70.6333,147.9167,-14.01,72,3.22,broken clouds
170,Bonthe,SL,7.5264,-12.505,78.62,73,9.62,broken clouds
171,Provideniya,RU,64.3833,-173.3,22.33,100,19.13,overcast clouds
172,Bluff,NZ,-46.6,168.3333,45.81,83,14.0,light rain
173,Nikolskoye,RU,59.7035,30.7861,36.88,92,2.68,overcast clouds
174,Svetlogorsk,BY,52.6333,29.7333,37.44,31,7.54,scattered clouds
175,Kodiak,US,57.79,-152.4072,44.11,0,16.11,clear sky
176,Eqbaliyeh,IR,35.3022,51.5358,71.42,0,10.6,clear sky
177,Aripuana,BR,-9.1667,-60.6333,82.49,100,1.28,overcast clouds
178,Karasjok,NO,69.4719,25.5112,24.42,100,1.54,overcast clouds
179,Asosa,ET,10.0667,34.5333,70.41,53,1.99,broken clouds
180,West Monroe,US,32.5185,-92.1476,75.92,100,11.5,mist
181,Bethel,US,41.3712,-73.414,77.04,0,12.66,clear sky
182,Hambantota,LK,6.1241,81.1185,79.23,92,10.6,overcast clouds
183,Tiznit,MA,29.5833,-9.5,57.27,25,5.08,scattered clouds
184,Arraial Do Cabo,BR,-22.9661,-42.0278,82.36,0,10.36,clear sky
185,Codrington,AU,-38.2667,141.9667,53.38,98,7.81,overcast clouds
186,Hasaki,JP,35.7333,140.8333,55.8,100,25.03,overcast clouds
187,Harnosand,SE,62.6323,17.9379,37.42,100,8.01,overcast clouds
188,Punta Arenas,CL,-53.15,-70.9167,59.11,40,32.21,scattered clouds
189,Kovdor,RU,67.5662,30.4758,26.42,100,3.4,overcast clouds
190,Haines Junction,CA,60.7522,-137.5108,30.15,16,1.14,few clouds
191,Kaitangata,NZ,-46.2817,169.8464,47.3,33,6.44,scattered clouds
